epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.7298,2.01602,3.51177,1.78803,0.00952,0.83069,0.37199,0.13713,1.81715,3.36687,1.30509,0.00018,0.00018,0.00018
2,50.5276,1.39247,1.65589,1.09718,1,0.23164,0.5283,0.31851,1.48919,2.88219,1.09622,0.000372476,0.000372476,0.000372476
3,74.2496,1.15755,1.21288,1.03795,1,0.26897,0.60551,0.41097,1.34873,2.68204,1.07198,0.000557032,0.000557032,0.000557032
4,96.5192,0.94606,1.05307,0.96386,0.01163,0.96296,0.83828,0.66965,0.78068,2.53414,0.88115,0.000733668,0.000733668,0.000733668
5,119.174,0.87717,0.96379,0.95977,1,0.22812,0.82201,0.68859,0.78083,2.50901,0.92106,0.000902384,0.000902384,0.000902384
6,141.556,0.88279,0.9605,0.95815,1,0.58523,0.89154,0.72524,0.81545,1.95599,0.96947,0.00106318,0.00106318,0.00106318
7,163.747,0.95005,1.17119,1.02219,1,0.62721,0.88339,0.71811,0.81044,2.06909,0.94574,0.00121606,0.00121606,0.00121606
8,186.545,0.84286,0.86688,0.96206,0.99772,0.91005,0.95861,0.79665,0.71429,1.47837,0.92208,0.00136101,0.00136101,0.00136101
9,209.339,0.86669,0.86731,1.0094,1,0.90339,0.93765,0.78413,0.68102,1.12808,0.88144,0.00149805,0.00149805,0.00149805
10,234.159,0.74926,0.81011,0.92646,1,0.91778,0.94584,0.79045,0.68883,0.96577,0.89421,0.00162716,0.00162716,0.00162716
11,257.844,0.72834,0.70332,0.92608,0.99108,0.93651,0.96654,0.84097,0.56373,0.8007,0.86047,0.001604,0.001604,0.001604
12,281.176,0.7071,0.68742,0.93028,0.98898,0.94988,0.97438,0.86002,0.5198,0.73247,0.84465,0.0015644,0.0015644,0.0015644
13,303.933,0.78639,0.96954,0.94076,0.98138,0.95767,0.97436,0.86187,0.50271,0.6768,0.83936,0.0015248,0.0015248,0.0015248
14,327.044,0.64877,0.67978,0.89698,0.9837,0.95783,0.97397,0.87096,0.49448,0.66478,0.83843,0.0014852,0.0014852,0.0014852
15,349.701,0.71933,0.69561,0.9403,0.99414,0.96825,0.97473,0.88419,0.47399,0.56862,0.83235,0.0014456,0.0014456,0.0014456
16,372.843,0.64983,0.61247,0.90871,0.99842,0.95767,0.97408,0.8681,0.51388,0.56094,0.84702,0.001406,0.001406,0.001406
17,395.287,0.56744,1.1021,0.80742,0.99892,0.95767,0.97453,0.89055,0.45448,0.49587,0.83597,0.0013664,0.0013664,0.0013664
18,416.954,0.61788,0.6131,0.90667,0.98911,0.96296,0.97481,0.87501,0.49156,0.51932,0.83791,0.0013268,0.0013268,0.0013268
19,439.274,0.6407,0.60561,0.9053,0.98285,0.96296,0.97425,0.89089,0.45198,0.48549,0.82753,0.0012872,0.0012872,0.0012872
20,463.036,0.59618,0.60247,0.89417,1,0.96208,0.98173,0.8755,0.51276,0.48308,0.83129,0.0012476,0.0012476,0.0012476
21,485.129,0.6348,0.54269,0.91107,0.99897,0.97354,0.98459,0.88611,0.45908,0.44842,0.82321,0.001208,0.001208,0.001208
22,507.415,0.5754,0.54165,0.88156,0.99951,0.97884,0.97643,0.87397,0.4884,0.45812,0.83013,0.0011684,0.0011684,0.0011684
23,530.027,0.64273,0.5306,0.89531,0.99232,0.97884,0.97856,0.89715,0.43854,0.44145,0.82378,0.0011288,0.0011288,0.0011288
24,551.339,0.61628,0.52892,0.88518,0.99958,0.97354,0.98479,0.89934,0.4357,0.43879,0.81847,0.0010892,0.0010892,0.0010892
25,572.606,0.55846,0.505,0.8668,1,0.97225,0.98469,0.8861,0.48104,0.44289,0.82926,0.0010496,0.0010496,0.0010496
26,593.94,0.61641,0.52401,0.90522,0.99961,0.97354,0.9821,0.90425,0.44193,0.42609,0.8195,0.00101,0.00101,0.00101
27,615.127,0.52515,0.74327,0.79253,1,0.97295,0.97603,0.87376,0.52556,0.43895,0.83633,0.0009704,0.0009704,0.0009704
